uri,artist,name,popularity,release_date,added_at,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:5E3P9e1hvjyIOlFyqNB5eD,Daryl Hall & John Oates,Rich Girl - Remastered,70,2005-04-25,2019-06-17 17:38:24+00:00,0.597,0.643,5,-6.303,1,0.134,0.5,0.0,0.0435,0.823,167.963,144333,4
spotify:track:64GRDrL1efgXclrhVCeuA0,Sam Smith,Lay Me Down,76,2015-11-06,2019-06-17 17:38:37+00:00,0.468,0.19,4,-11.138,1,0.0373,0.919,0.0,0.107,0.326,125.319,219536,4
spotify:track:4ycLiPVzE5KamivXrAzGFG,CeeLo Green,Fuck You,66,2010-11-09,2019-06-17 17:38:51+00:00,0.69,0.834,0,-5.79,1,0.0566,0.129,0.0,0.136,0.738,127.43,222933,4
spotify:track:0jWgAnTrNZmOGmqgvHhZEm,4 Non Blondes,What's Up?,78,1992-01-01,2019-06-17 17:39:00+00:00,0.565,0.564,2,-10.044,1,0.0292,0.161,0.0,0.114,0.454,134.355,295533,4
spotify:track:3SdTKo2uVsxFblQjpScoHy,Ben E. King,Stand by Me,77,1962-08-20,2019-06-17 17:39:07+00:00,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,180056,4
spotify:track:3fqwjXwUGN6vbzIwvyFMhx,Chris Stapleton,Tennessee Whiskey,77,2015-05-04,2019-06-17 17:39:16+00:00,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293,4
spotify:track:71WAtDcWVYMoCsblD2uQXx,Adele,Chasing Pavements,63,2008-01-28,2019-06-17 17:39:25+00:00,0.621,0.473,5,-6.07,0,0.0251,0.312,0.0,0.11,0.325,80.027,210507,4
spotify:track:0tURbnatc9qCxlYpXuPK8I,Stevie Wonder,A Place In The Sun,51,1966-11-01,2019-06-17 17:39:33+00:00,0.561,0.447,1,-11.389,1,0.0544,0.279,0.0,0.319,0.729,117.784,172960,4
spotify:track:4CbUtLtAcgLJ7mAIeooJS8,The Jackson 5,I Want You Back,65,1993-01-01,2019-06-17 17:39:41+00:00,0.639,0.543,8,-12.777,1,0.0303,0.492,1.29e-05,0.28,0.937,98.185,180840,4
spotify:track:0Q0IVlqMV64kNLlwjPj0Hl,Fugees,Killing Me Softly With His Song,74,1996-02-13,2019-06-17 17:39:48+00:00,0.765,0.29,4,-17.117,0,0.139,0.0279,1.02e-06,0.571,0.506,92.409,298773,4
spotify:track:4y1LsJpmMti1PfRQV9AWWe,Cyndi Lauper,Girls Just Want to Have Fun,76,1983-10-14,2019-06-17 17:39:59+00:00,0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,238267,4
spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,"thank u, next",87,2019-02-08,2019-06-17 17:40:09+00:00,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,207320,4
spotify:track:7cv28LXcjAC3GsXbUvXKbX,Gloria Gaynor,I Will Survive - Single Version,66,2000-01-01,2019-06-17 17:40:18+00:00,0.777,0.725,0,-8.681,1,0.05,0.0131,0.00805,0.246,0.529,116.67,198066,4
spotify:track:7BY005dacJkbO6EPiOh2wb,The Animals,House Of The Rising Sun,69,1964-01-01,2019-06-17 17:40:34+00:00,0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2,271280,3
